"","age","educ","black","married","nodegree","re74","re75","re78","hisp","sample","treat","educ_cat4"
"1",42,16,0,1,0,0,0,100.485404968262,0,2,0,4
"2",20,13,0,0,0,2366.79418945312,3317.4677734375,4793.7451171875,0,2,0,3
"3",37,12,0,1,0,25862.322265625,22781.85546875,25564.669921875,0,2,0,2
"4",48,12,0,1,0,21591.12109375,20839.35546875,20550.744140625,0,2,0,2
"5",51,12,0,1,0,21395.193359375,21575.177734375,22783.587890625,0,2,0,2
"6",18,11,0,0,1,1310.74951171875,1455.5322265625,2157.48071289062,0,2,0,1
"7",52,15,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,3
"8",39,16,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,4
"9",44,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,2
"10",51,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,2
"11",53,12,0,1,0,25862.322265625,25243.548828125,25427.240234375,0,2,0,2
"12",55,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,2
"13",45,12,0,1,0,8987.1572265625,10666.7421875,8096.4638671875,0,2,0,2
"14",54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,2
"15",54,12,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,2
"16",51,8,0,1,1,15973.90234375,12967.306640625,0,0,2,0,1
"17",16,10,0,0,1,881.670043945312,2391.87084960938,10747.505859375,0,2,0,1
"18",17,10,0,0,1,466.305511474609,537.096801757812,4306.09521484375,0,2,0,1
"19",53,12,0,1,0,25862.322265625,4380.91943359375,25564.669921875,0,2,0,2
"20",53,12,0,1,0,10233.2509765625,11305.88671875,16150.07421875,0,2,0,2
"21",53,12,0,1,0,22884.236328125,24563.2265625,24081.033203125,0,2,0,2
"22",42,12,0,1,0,0,580.064514160156,0,0,2,0,2
"23",46,11,0,1,1,25862.322265625,25243.548828125,25564.669921875,0,2,0,1
"24",49,18,0,1,0,25862.322265625,25243.548828125,25564.669921875,0,2,0,4
"25",49,17,0,1,0,25780.033203125,25243.548828125,25564.669921875,0,2,0,4
